ORF	Column 0	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6
YHR051W	0.20000000298023224	0.03999999910593033	0.1899999976158142	0.4099999964237213	0.7599999904632568	2.180000066757202	2.5
YGR145W	0.0	-0.23000000417232513	0.25	-0.8899999856948853	-1.090000033378601	-1.690000057220459	-2.180000066757202
YCR005C	-0.49000000953674316	-0.14000000059604645	0.10000000149011612	-0.3799999952316284	-0.8399999737739563	1.059999942779541	2.2799999713897705
YMR318C	0.03999999910593033	-0.03999999910593033	-0.11999999731779099	-0.4300000071525574	-0.49000000953674316	-1.4700000286102295	-2.119999885559082
YLR339C	0.3199999928474426	0.46000000834465027	0.30000001192092896	-0.20000000298023224	-0.6700000166893005	-1.7899999618530273	-2.559999942779541
YHL021C	-0.44999998807907104	0.11999999731779099	0.6499999761581421	0.9900000095367432	0.800000011920929	2.9800000190734863	2.509999990463257
YLR267W	-0.11999999731779099	0.11999999731779099	0.2800000011920929	-0.10000000149011612	-0.4699999988079071	1.659999966621399	2.690000057220459
YGR148C	0.20000000298023224	0.10999999940395355	0.05999999865889549	-0.28999999165534973	-0.27000001072883606	-1.840000033378601	-2.640000104904175
YHR128W	0.23999999463558197	0.07999999821186066	0.23000000417232513	-0.7099999785423279	-0.6700000166893005	-1.8899999856948853	-2.319999933242798
YLR196W	0.25	0.07999999821186066	0.2800000011920929	-0.8600000143051147	-0.9200000166893005	-1.559999942779541	-2.740000009536743
YBR241C	-0.9700000286102295	0.07000000029802322	0.41999998688697815	0.1899999976158142	-0.18000000715255737	2.490000009536743	1.5499999523162842
YKL187C	0.03999999910593033	0.07000000029802322	0.20999999344348907	-0.15000000596046448	-0.4000000059604645	2.1500000953674316	3.309999942779541
YLR198C	0.3100000023841858	0.009999999776482582	0.44999998807907104	-0.15000000596046448	-0.23000000417232513	-1.3600000143051147	-2.4700000286102295
YNL052W	-0.23000000417232513	-0.23000000417232513	-0.09000000357627869	0.07999999821186066	0.6399999856948853	1.7999999523162842	2.299999952316284
YOR063W	0.14000000059604645	0.07000000029802322	0.2800000011920929	-0.25	-0.28999999165534973	-1.690000057220459	-2.25
YOL032W	-0.05999999865889549	-0.029999999329447746	0.28999999165534973	0.18000000715255737	0.10000000149011612	2.559999942779541	1.7100000381469727
YPL012W	0.07999999821186066	-0.28999999165534973	-0.15000000596046448	-1.1799999475479126	-1.600000023841858	-2.940000057220459	-3.059999942779541
YOR065W	0.18000000715255737	0.10000000149011612	0.3199999928474426	0.28999999165534973	0.949999988079071	1.7100000381469727	2.4100000858306885
YBR247C	-0.029999999329447746	-0.2199999988079071	-0.07000000029802322	-1.1799999475479126	-1.0299999713897705	-1.2200000286102295	-2.740000009536743
YDR060W	-0.03999999910593033	-0.09000000357627869	-0.009999999776482582	-0.7900000214576721	-0.8399999737739563	-2.25	-2.4000000953674316
YBR249C	0.15000000596046448	0.03999999910593033	0.14000000059604645	-0.4300000071525574	-0.6000000238418579	-2.0	-2.4000000953674316
YGL191W	0.03999999910593033	-0.07000000029802322	0.029999999329447746	0.029999999329447746	0.8899999856948853	2.490000009536743	2.3499999046325684
YBL072C	0.11999999731779099	0.18000000715255737	0.23999999463558197	0.03999999910593033	-0.05999999865889549	-0.10000000149011612	-2.0
YOL039W	0.07999999821186066	-0.029999999329447746	0.10000000149011612	0.0	0.0	-0.17000000178813934	-2.319999933242798
YCL053C	0.07999999821186066	0.009999999776482582	-0.15000000596046448	-0.7900000214576721	-0.5799999833106995	-1.7400000095367432	-2.0
YEL011W	-0.28999999165534973	0.11999999731779099	0.5	0.8199999928474426	0.5	2.619999885559082	2.869999885559082
YDR064W	-0.05999999865889549	-0.11999999731779099	-0.05999999865889549	-0.5600000023841858	-0.5600000023841858	-2.119999885559082	-2.4000000953674316
YEL012W	-0.09000000357627869	-0.30000001192092896	0.07000000029802322	0.07999999821186066	-0.36000001430511475	1.3200000524520874	2.359999895095825
YCL054W	0.15000000596046448	-0.15000000596046448	0.11999999731779099	-0.7400000095367432	-0.9200000166893005	-1.25	-2.059999942779541
YER117W	0.1599999964237213	0.1599999964237213	0.20999999344348907	0.10999999940395355	-0.14000000059604645	-1.2200000286102295	-2.180000066757202
YNL274C	0.009999999776482582	0.05999999865889549	0.36000001430511475	0.6399999856948853	0.5	2.759999990463257	1.6799999475479126
YPL160W	-0.05999999865889549	0.0	-0.3400000035762787	-0.3799999952316284	-0.6200000047683716	-1.840000033378601	-2.0
YBL078C	-0.4000000059604645	-0.17000000178813934	0.14000000059604645	0.23000000417232513	0.3199999928474426	2.319999933242798	2.119999885559082
YJL136C	0.1899999976158142	-0.09000000357627869	0.3400000035762787	-0.07000000029802322	-0.4699999988079071	-1.4700000286102295	-2.4000000953674316
YMR105C	0.14000000059604645	0.5299999713897705	0.7099999785423279	1.7400000095367432	1.4600000381469727	3.190000057220459	2.6600000858306885
YJR095W	-0.6000000238418579	-0.4699999988079071	1.0800000429153442	-0.14000000059604645	-0.17000000178813934	1.3700000047683716	3.740000009536743
YLL023C	0.10000000149011612	0.07000000029802322	0.5400000214576721	0.5199999809265137	0.38999998569488525	2.1500000953674316	1.2999999523162842
YJR096W	-0.41999998688697815	0.20999999344348907	0.20000000298023224	0.33000001311302185	0.9300000071525574	2.859999895095825	1.4299999475479126
YGR008C	-0.05999999865889549	0.03999999910593033	0.5	1.1200000047683716	1.0700000524520874	2.759999990463257	2.0899999141693115
YMR107W	-0.41999998688697815	-0.27000001072883606	-0.20000000298023224	-0.30000001192092896	-0.10000000149011612	2.3499999046325684	2.3399999141693115
YKR076W	-0.03999999910593033	0.03999999910593033	0.3799999952316284	0.23999999463558197	0.009999999776482582	1.6399999856948853	2.2200000286102295
YLR056W	-0.18000000715255737	-0.3199999928474426	-0.07000000029802322	-0.5799999833106995	-0.6399999856948853	-2.180000066757202	-1.840000033378601
YLR129W	-0.3400000035762787	-0.3799999952316284	-0.28999999165534973	-0.8899999856948853	-0.8600000143051147	-2.8399999141693115	-2.119999885559082
YLR340W	0.20999999344348907	0.3199999928474426	0.47999998927116394	-0.09000000357627869	-0.4300000071525574	-1.7899999618530273	-2.740000009536743
YLR413W	0.20999999344348907	0.36000001430511475	0.5299999713897705	-0.6399999856948853	-0.6700000166893005	-2.4000000953674316	-2.8399999141693115
YPL093W	0.029999999329447746	-0.2199999988079071	-0.30000001192092896	-0.8899999856948853	-1.2899999618530273	-1.840000033378601	-2.180000066757202
